Shop-ID;Brand;Country;Postcode;City;Street and Housenumber;Complete adress;With brand
5976136;Subway;DE;1067;Dresden;Pfarrgasse 1;Pfarrgasse 1 01067 Dresden;Subway Pfarrgasse 1 01067 Dresden
5976449;Subway;DE;1069;Dresden;St. Petersburg Str. 26-32;St. Petersburg Str. 26-32 01069 Dresden;Subway St. Petersburg Str. 26-32 01069 Dresden
5976410;Subway;DE;1069;Dresden;Wiener Platz 4;Wiener Platz 4 01069 Dresden;Subway Wiener Platz 4 01069 Dresden
5976121;Subway;DE;1099;Dresden;Alaunstraße 1;Alaunstraße 1 01099 Dresden;Subway Alaunstraße 1 01099 Dresden
5976332;Subway;DE;1099;Dresden;Königsbrücker Straße 60;Königsbrücker Straße 60 01099 Dresden;Subway Königsbrücker Straße 60 01099 Dresden
5976413;Subway;DE;1159;Dresden;Kesselsdorfer Str. 81;Kesselsdorfer Str. 81 01159 Dresden;Subway Kesselsdorfer Str. 81 01159 Dresden
5976153;Subway;DE;1309;Dresden;Loschwitzer Straße 47;Loschwitzer Straße 47 01309 Dresden;Subway Loschwitzer Straße 47 01309 Dresden
5976385;Subway;DE;1445;Radebeul;Hauptstr. 8;Hauptstr. 8 01445 Radebeul;Subway Hauptstr. 8 01445 Radebeul
5976526;Subway;DE;1589;Riesa;Nossener Str. 50;Nossener Str. 50 01589 Riesa;Subway Nossener Str. 50 01589 Riesa
5976476;Subway;DE;1796;Pirna;Gartenstraße 1;Gartenstraße 1 01796 Pirna;Subway Gartenstraße 1 01796 Pirna
5976175;Subway;DE;2625;Bautzen;Karl-Marx-Str. 10;Karl-Marx-Str. 10 02625 Bautzen;Subway Karl-Marx-Str. 10 02625 Bautzen
5976330;Subway;DE;4109;Leipzig;Friedrich-Ebert-Straße 95a;Friedrich-Ebert-Straße 95a 04109 Leipzig;Subway Friedrich-Ebert-Straße 95a 04109 Leipzig
5976089;Subway;DE;4109;Leipzig;Neumarkt 9-19;Neumarkt 9-19 04109 Leipzig;Subway Neumarkt 9-19 04109 Leipzig
5976127;Subway;DE;4109;Leipzig;Willi Brandt Platz 5;Willi Brandt Platz 5 04109 Leipzig;Subway Willi Brandt Platz 5 04109 Leipzig
5976433;Subway;DE;4109;Leipzig;Willy-Brandt-Platz 1;Willy-Brandt-Platz 1 04109 Leipzig;Subway Willy-Brandt-Platz 1 04109 Leipzig
5976569;Subway;DE;4179;Leipzig;Merseburger Str. 200;Merseburger Str. 200 04179 Leipzig;Subway Merseburger Str. 200 04179 Leipzig
5976374;Subway;DE;4209;Leipzig;Ludwigsburger Straße 9;Ludwigsburger Straße 9 04209 Leipzig;Subway Ludwigsburger Straße 9 04209 Leipzig
5976167;Subway;DE;4229;Leipzig;Könneritzstraße 46;Könneritzstraße 46 04229 Leipzig;Subway Könneritzstraße 46 04229 Leipzig
5976285;Subway;DE;4275;Leipzig;Karl-Liebknecht-Str. 128;Karl-Liebknecht-Str. 128 04275 Leipzig;Subway Karl-Liebknecht-Str. 128 04275 Leipzig
5976445;Subway;DE;4317;Leipzig;Oststraße 2;Oststraße 2 04317 Leipzig;Subway Oststraße 2 04317 Leipzig
5976499;Subway;DE;4425;Taucha;Leipziger Straße 102;Leipziger Straße 102 04425 Taucha;Subway Leipziger Straße 102 04425 Taucha
5976308;Subway;DE;4509;Delitzsch;Eilenburger Str. 21;Eilenburger Str. 21 04509 Delitzsch;Subway Eilenburger Str. 21 04509 Delitzsch
5976446;Subway;DE;4552;Borna;Bahnhofstr. 26;Bahnhofstr. 26 04552 Borna;Subway Bahnhofstr. 26 04552 Borna
5976438;Subway;DE;4668;Grimma;Wallgraben 1;Wallgraben 1 04668 Grimma;Subway Wallgraben 1 04668 Grimma
5976516;Subway;DE;4808;Wurzen;Dresdner Straße 16b;Dresdner Straße 16b 04808 Wurzen;Subway Dresdner Straße 16b 04808 Wurzen
5976566;Subway;DE;4838;Eilenburg;Torgauer Straße 41;Torgauer Straße 41 04838 Eilenburg;Subway Torgauer Straße 41 04838 Eilenburg
5976466;Subway;DE;4860;Torgau;Promenade 5;Promenade 5 04860 Torgau;Subway Promenade 5 04860 Torgau
5976130;Subway;DE;6108;Halle;Markt 11;Markt 11 06108 Halle;Subway Markt 11 06108 Halle
5976435;Subway;DE;6112;Halle;Bahnhofsplatz 1;Bahnhofsplatz 1 06112 Halle;Subway Bahnhofsplatz 1 06112 Halle
5976386;Subway;DE;6122;Halle;Neustädter Passage 17 D;Neustädter Passage 17 D 06122 Halle;Subway Neustädter Passage 17 D 06122 Halle
5976408;Subway;DE;6217;Merseburg;König-Heinrich-Str. 2;König-Heinrich-Str. 2 06217 Merseburg;Subway König-Heinrich-Str. 2 06217 Merseburg
5976316;Subway;DE;6254;Günthersdorf;Am Einkaufszentrum 1;Am Einkaufszentrum 1 06254 Günthersdorf;Subway Am Einkaufszentrum 1 06254 Günthersdorf
5976425;Subway;DE;6366;Köthen;Leipziger Str. 36c;Leipziger Str. 36c 06366 Köthen;Subway Leipziger Str. 36c 06366 Köthen
5976412;Subway;DE;6484;Quedlinburg;Gernröder Weg 6;Gernröder Weg 6 06484 Quedlinburg;Subway Gernröder Weg 6 06484 Quedlinburg
5976471;Subway;DE;6667;Leißling;Am Markt 2;Am Markt 2 06667 Leißling;Subway Am Markt 2 06667 Leißling
5976270;Subway;DE;6749;Friedersdorf;An der B100;An der B100 06749 Friedersdorf;Subway An der B100 06749 Friedersdorf
5976562;Subway;DE;6844;Dessau;Askanische Str.;Askanische Str. 06844 Dessau;Subway Askanische Str. 06844 Dessau
5976236;Subway;DE;6844;Dessau;Zerbster Straße 30;Zerbster Straße 30 06844 Dessau;Subway Zerbster Straße 30 06844 Dessau
5976529;Subway;DE;6862;Rosslau;Magdeburger Strasse 34;Magdeburger Strasse 34 06862 Rosslau;Subway Magdeburger Strasse 34 06862 Rosslau
5976538;Subway;DE;6886;Lutherstadt Wittenberg;Dessauer Strasse 3-4;Dessauer Strasse 3-4 06886 Lutherstadt Wittenberg;Subway Dessauer Strasse 3-4 06886 Lutherstadt Wittenberg
5976233;Subway;DE;7545;Gera;Markt 2;Markt 2 07545 Gera;Subway Markt 2 07545 Gera
5976264;Subway;DE;7546;Gera;Gaswerkstraße 2;Gaswerkstraße 2 07546 Gera;Subway Gaswerkstraße 2 07546 Gera
5976441;Subway;DE;7646;Quirla;Autohof Stadtroda Hauptstrasse 39;Autohof Stadtroda Hauptstrasse 39 07646 Quirla;Subway Autohof Stadtroda Hauptstrasse 39 07646 Quirla
5976213;Subway;DE;7743;Jena;Leutragraben 1;Leutragraben 1 07743 Jena;Subway Leutragraben 1 07743 Jena
5976613;Subway;DE;7745;Jena;Westbahnhofstraße 13;Westbahnhofstraße 13 07745 Jena;Subway Westbahnhofstraße 13 07745 Jena
5976584;Subway;DE;7768;Kahla;Ölwiesenweg 3;Ölwiesenweg 3 07768 Kahla;Subway Ölwiesenweg 3 07768 Kahla
5976317;Subway;DE;7907;Schleiz;Industriestraße 19;Industriestraße 19 07907 Schleiz;Subway Industriestraße 19 07907 Schleiz
5976271;Subway;DE;8056;Zwickau;Innere Plauensche Str. 14;Innere Plauensche Str. 14 08056 Zwickau;Subway Innere Plauensche Str. 14 08056 Zwickau
5976610;Subway;DE;8056;Zwickau;Oskar-Arnold-Str. 2;Oskar-Arnold-Str. 2 08056 Zwickau;Subway Oskar-Arnold-Str. 2 08056 Zwickau
5976146;Subway;DE;8056;Zwickau;Poetenweg 4;Poetenweg 4 08056 Zwickau;Subway Poetenweg 4 08056 Zwickau
5976171;Subway;DE;8233;Plauen;Klosterstr. 6;Klosterstr. 6 08233 Plauen;Subway Klosterstr. 6 08233 Plauen
5976065;Subway;DE;8233;Treuen;Mittlerer Ring 6;Mittlerer Ring 6 08233 Treuen;Subway Mittlerer Ring 6 08233 Treuen
5976309;Subway;DE;8371;Glauchau;Otto-Schimmel-Str. 4-6;Otto-Schimmel-Str. 4-6 08371 Glauchau;Subway Otto-Schimmel-Str. 4-6 08371 Glauchau
5976597;Subway;DE;8393;Meerane;Gute Borner Allee 1c;Gute Borner Allee 1c 08393 Meerane;Subway Gute Borner Allee 1c 08393 Meerane
